# 298 checkpoints, total 149.68 TB (149,675,743,140,895 bytes)
#           bytes	       GB	path
   810647161453	   810.65	gs://marin-us-central1/checkpoints/math-resili-highreg-qwen3-0.6b-base-0f1235/
   810647153823	   810.65	gs://marin-us-central1/checkpoints/math_multi_v2-resiliparse-qwen3-0.6b-base-sft-66e234/
   672618376652	   672.62	gs://marin-us-central1/checkpoints/medical-resili-p1-lr7e-6_bs64-qwen3-0.6b-24b1e7/
   667594654530	   667.59	gs://marin-us-central1/checkpoints/medical-resili-p1-lr1e-6_bs64-qwen3-0.6b-5599ac/
   667594639210	   667.59	gs://marin-us-central1/checkpoints/medical-resili-p1-lr2e-6_bs64-qwen3-0.6b-0bca01/
   667594632555	   667.59	gs://marin-us-central1/checkpoints/medical-resili-p1-lr5e-6_bs64-qwen3-0.6b-ad1ee8/
   667594550604	   667.59	gs://marin-us-central1/checkpoints/medical-resili-p1-lr3e-6_bs64-qwen3-0.6b-4bf01e/
   667594545610	   667.59	gs://marin-us-central1/checkpoints/medical-resili-highreg-qwen3-0.6b-0cf223/
   667594533302	   667.59	gs://marin-us-central1/checkpoints/medical-resiliparse-qwen3-0.6b-sft-5bbd3e/
   545844298627	   545.84	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-7_bs16-qwen3-0.6b-base-44cb52/
   539082174756	   539.08	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-7_bs16-qwen3-0.6b-base-fbcec3/
   538847347542	   538.85	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-6_bs16-qwen3-0.6b-base-4f53e0/
   538847323562	   538.85	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-6_bs16-qwen3-0.6b-base-3d35d5/
   538847321182	   538.85	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-7_bs16-qwen3-0.6b-base-76b3a2/
   538847275020	   538.85	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-6_bs16-qwen3-0.6b-base-31536e/
   444271713965	   444.27	gs://marin-us-central1/checkpoints/math-v2-sweep-lr1e-6_bs32-qwen3-0.6b-base-a11e33/
   438710552195	   438.71	gs://marin-us-central1/checkpoints/math-v2-sweep-lr2e-6_bs32-qwen3-0.6b-base-71ef03/
   438710542599	   438.71	gs://marin-us-central1/checkpoints/math-v2-sweep-lr5e-6_bs32-qwen3-0.6b-base-0897d2/
   438710537988	   438.71	gs://marin-us-central1/checkpoints/math-v2-sweep-lr5e-7_bs32-qwen3-0.6b-base-017a4b/
   438710537111	   438.71	gs://marin-us-central1/checkpoints/math-v2-sweep-lr1e-5_bs32-qwen3-0.6b-base-8cc6f2/
   438710533679	   438.71	gs://marin-us-central1/checkpoints/math-v2-sweep-lr2e-5_bs32-qwen3-0.6b-base-cca596/
   438710486829	   438.71	gs://marin-us-central1/checkpoints/math-v2-lowreg-qwen3-0.6b-base-4343be/
   310256829555	   310.26	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p05_wu0p1-qwen3-0.6b-73be8d/
   309963265682	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr2e-6_bs32-qwen3-0.6b-ceff54/
   309963242586	   309.96	gs://marin-us-central1/checkpoints/medical-extractv2-p2-wd0p01_wu0p0-qwen3-0.6b-68475d/
